date,listing_id,orders,timestamp
2023-01-01,1,4,2023-01-01 20:26:00
2023-01-01,5,3,2023-01-01 03:28:00
2023-01-01,6,0,2023-01-01 23:02:00
2023-01-01,7,1,2023-01-01 13:20:00
2023-01-01,15,0,2023-01-01 09:23:00
2023-01-01,15,-2,2023-01-01 09:51:00
2023-01-01,15,-1,2023-01-01 10:04:00
2023-01-01,16,3,2023-01-01 03:32:00
2023-01-01,18,2,2023-01-01 19:55:00
2023-01-01,21,3,2023-01-01 16:35:00
2023-01-01,24,0,2023-01-01 11:11:00
2023-01-01,26,3,2023-01-01 07:59:00
2023-01-01,30,3,2023-01-01 03:29:00
2023-01-01,33,0,2023-01-01 13:50:00
2023-01-01,34,0,2023-01-01 05:49:00
2023-01-01,40,5,2023-01-01 15:21:00
2023-01-01,44,1,2023-01-01 20:29:00
2023-01-01,52,2,2023-01-01 01:23:00
2023-01-01,55,5,2023-01-01 08:49:00
2023-01-01,56,2,2023-01-01 02:18:00
2023-01-01,57,5,2023-01-01 15:54:00
2023-01-01,60,3,2023-01-01 16:17:00
2023-01-01,62,2,2023-01-01 13:28:00
2023-01-01,63,4,2023-01-01 15:39:00
2023-01-01,66,2,2023-01-01 19:05:00
2023-01-01,67,3,2023-01-01 17:25:00
2023-01-01,67,2,2023-01-01 17:43:00
2023-01-01,73,0,2023-01-01 22:09:00
2023-01-01,75,3,2023-01-01 03:30:00
2023-01-01,79,5,2023-01-01 03:58:00
2023-01-01,79,9,2023-01-01 04:07:00
2023-01-01,79,7,2023-01-01 05:42:00
2023-01-01,80,5,2023-01-01 11:03:00
2023-01-01,83,4,2023-01-01 18:24:00
2023-01-01,85,5,2023-01-01 11:58:00
2023-01-01,88,3,2023-01-01 11:55:00
2023-01-01,90,1,2023-01-01 17:29:00
2023-01-01,91,2,2023-01-01 00:47:00
2023-01-01,93,0,2023-01-01 18:53:00
2023-01-01,100,1,2023-01-01 19:18:00
2023-01-01,101,5,2023-01-01 07:09:00
2023-01-01,102,5,2023-01-01 05:35:00
2023-01-01,102,1,2023-01-01 06:24:00
2023-01-01,105,4,2023-01-01 01:02:00
2023-01-01,106,0,2023-01-01 11:53:00
2023-01-01,108,2,2023-01-01 23:10:00
2023-01-01,110,0,2023-01-01 22:45:00
2023-01-01,111,0,2023-01-01 22:13:00
2023-01-01,114,5,2023-01-01 10:39:00
2023-01-01,117,5,2023-01-01 22:09:00
2023-01-01,131,4,2023-01-01 07:07:00
2023-01-01,135,4,2023-01-01 13:37:00
2023-01-01,138,4,2023-01-01 23:52:00
2023-01-01,139,0,2023-01-01 07:55:00
2023-01-01,139,4,2023-01-01 09:19:00
2023-01-01,140,3,2023-01-01 18:05:00
2023-01-01,144,0,2023-01-01 10:27:00
2023-01-01,151,1,2023-01-01 22:54:00
2023-01-01,157,5,2023-01-01 01:04:00
2023-01-01,157,5,2023-01-01 01:31:00
2023-01-01,158,5,2023-01-01 20:56:00
2023-01-01,159,5,2023-01-01 08:23:00
2023-01-01,162,1,2023-01-01 08:46:00
2023-01-01,163,2,2023-01-01 14:17:00
2023-01-01,169,3,2023-01-01 19:24:00
2023-01-01,174,5,2023-01-01 07:45:00
2023-01-01,175,5,2023-01-01 22:56:00
2023-01-01,176,2,2023-01-01 03:27:00
2023-01-01,177,2,2023-01-01 10:57:00
2023-01-01,179,5,2023-01-01 12:08:00
2023-01-01,189,1,2023-01-01 05:03:00
2023-01-01,190,2,2023-01-01 05:52:00
2023-01-01,191,1,2023-01-01 20:52:00
2023-01-01,191,2,2023-01-01 21:56:00
2023-01-01,192,4,2023-01-01 23:04:00
2023-01-01,200,0,2023-01-01 10:57:00
2023-01-02,5,5,2023-01-02 02:36:00
2023-01-02,13,5,2023-01-02 23:46:00
2023-01-02,14,0,2023-01-02 07:54:00
2023-01-02,15,5,2023-01-02 16:11:00
2023-01-02,26,5,2023-01-02 10:13:00
2023-01-02,28,5,2023-01-02 13:08:00
2023-01-02,30,1,2023-01-02 13:31:00
2023-01-02,32,2,2023-01-02 09:21:00
2023-01-02,33,3,2023-01-02 05:09:00
2023-01-02,35,3,2023-01-02 17:54:00
2023-01-02,39,4,2023-01-02 06:58:00
2023-01-02,45,5,2023-01-02 19:19:00
2023-01-02,52,0,2023-01-02 08:53:00
2023-01-02,53,0,2023-01-02 08:48:00
2023-01-02,59,2,2023-01-02 10:51:00
2023-01-02,63,2,2023-01-02 19:31:00
2023-01-02,75,0,2023-01-02 20:04:00
2023-01-02,79,4,2023-01-02 09:23:00
2023-01-02,83,5,2023-01-02 23:56:00
2023-01-02,85,0,2023-01-02 18:18:00
2023-01-02,85,-4,2023-01-02 18:30:00
2023-01-02,86,3,2023-01-02 05:24:00
2023-01-02,88,1,2023-01-02 05:24:00
2023-01-02,91,0,2023-01-02 04:42:00
2023-01-02,92,3,2023-01-02 05:22:00
2023-01-02,93,0,2023-01-02 03:04:00
2023-01-02,93,0,2023-01-02 03:44:00
2023-01-02,107,5,2023-01-02 23:07:00
2023-01-02,115,2,2023-01-02 21:48:00
2023-01-02,121,2,2023-01-02 19:07:00
2023-01-02,126,5,2023-01-02 05:50:00
2023-01-02,135,4,2023-01-02 20:43:00
2023-01-02,136,3,2023-01-02 04:21:00
2023-01-02,137,1,2023-01-02 16:06:00
2023-01-02,141,2,2023-01-02 15:09:00
2023-01-02,146,5,2023-01-02 08:40:00
2023-01-02,147,4,2023-01-02 03:55:00
2023-01-02,151,3,2023-01-02 17:47:00
2023-01-02,156,4,2023-01-02 20:34:00
2023-01-02,169,0,2023-01-02 12:31:00
2023-01-02,174,3,2023-01-02 23:43:00
2023-01-02,175,5,2023-01-02 06:48:00
2023-01-02,177,1,2023-01-02 05:33:00
2023-01-02,178,1,2023-01-02 13:19:00
2023-01-02,182,3,2023-01-02 13:26:00
2023-01-02,189,1,2023-01-02 06:23:00
2023-01-02,190,4,2023-01-02 10:26:00
2023-01-02,192,2,2023-01-02 05:00:00
2023-01-02,193,5,2023-01-02 00:05:00
2023-01-02,198,0,2023-01-02 15:26:00
2023-01-02,198,4,2023-01-02 16:33:00
2023-01-02,198,1,2023-01-02 17:19:00
2023-01-02,200,1,2023-01-02 22:36:00
2023-01-03,1,3,2023-01-03 12:28:00
2023-01-03,4,1,2023-01-03 14:59:00
2023-01-03,13,3,2023-01-03 20:54:00
2023-01-03,16,2,2023-01-03 04:32:00
2023-01-03,18,1,2023-01-03 07:24:00
2023-01-03,27,5,2023-01-03 03:17:00
2023-01-03,35,0,2023-01-03 00:25:00
