listing_id,date,timestamp,is_online,rank
2,2023-01-01,2023-01-01 06:17:00,False,
2,2023-01-01,2023-01-01 12:08:00,True,17.0
2,2023-01-01,2023-01-01 18:14:00,False,
2,2023-01-01,2023-01-01 23:48:00,False,
21,2023-01-01,2023-01-01 06:25:00,True,52.0
21,2023-01-01,2023-01-01 12:52:00,True,67.0
21,2023-01-01,2023-01-01 18:06:00,False,
21,2023-01-01,2023-01-01 23:53:00,True,97.0
33,2023-01-01,2023-01-01 06:34:00,False,
33,2023-01-01,2023-01-01 12:44:00,True,47.0
33,2023-01-01,2023-01-01 18:47:00,False,
33,2023-01-01,2023-01-01 23:08:00,True,31.0
37,2023-01-01,2023-01-01 06:11:00,True,96.0
37,2023-01-01,2023-01-01 12:24:00,False,
37,2023-01-01,2023-01-01 18:54:00,False,
37,2023-01-01,2023-01-01 23:14:00,True,94.0
38,2023-01-01,2023-01-01 06:16:00,True,20.0
38,2023-01-01,2023-01-01 12:10:00,False,
38,2023-01-01,2023-01-01 18:33:00,False,
38,2023-01-01,2023-01-01 23:16:00,False,
75,2023-01-01,2023-01-01 06:01:00,False,
75,2023-01-01,2023-01-01 12:51:00,False,
75,2023-01-01,2023-01-01 18:27:00,False,
75,2023-01-01,2023-01-01 23:13:00,True,85.0
84,2023-01-01,2023-01-01 06:13:00,False,
84,2023-01-01,2023-01-01 12:48:00,True,74.0
84,2023-01-01,2023-01-01 18:05:00,False,
84,2023-01-01,2023-01-01 23:16:00,False,
103,2023-01-01,2023-01-01 06:15:00,True,21.0
103,2023-01-01,2023-01-01 12:19:00,True,74.0
103,2023-01-01,2023-01-01 18:10:00,False,
103,2023-01-01,2023-01-01 23:02:00,True,57.0
104,2023-01-01,2023-01-01 06:11:00,True,29.0
104,2023-01-01,2023-01-01 12:39:00,False,
104,2023-01-01,2023-01-01 18:32:00,False,
104,2023-01-01,2023-01-01 23:50:00,False,
116,2023-01-01,2023-01-01 06:30:00,True,37.0
116,2023-01-01,2023-01-01 12:37:00,False,
116,2023-01-01,2023-01-01 18:09:00,False,
116,2023-01-01,2023-01-01 23:40:00,False,
128,2023-01-01,2023-01-01 06:41:00,True,28.0
128,2023-01-01,2023-01-01 12:24:00,True,64.0
128,2023-01-01,2023-01-01 18:32:00,True,35.0
128,2023-01-01,2023-01-01 23:01:00,True,63.0
131,2023-01-01,2023-01-01 06:46:00,True,32.0
131,2023-01-01,2023-01-01 12:05:00,False,
131,2023-01-01,2023-01-01 18:29:00,False,
131,2023-01-01,2023-01-01 23:27:00,False,
135,2023-01-01,2023-01-01 06:07:00,True,18.0
135,2023-01-01,2023-01-01 12:05:00,True,7.0
135,2023-01-01,2023-01-01 18:47:00,True,87.0
135,2023-01-01,2023-01-01 23:03:00,True,14.0
140,2023-01-01,2023-01-01 06:03:00,True,45.0
140,2023-01-01,2023-01-01 12:27:00,False,
140,2023-01-01,2023-01-01 18:36:00,True,10.0
140,2023-01-01,2023-01-01 23:01:00,False,
150,2023-01-01,2023-01-01 06:57:00,False,
150,2023-01-01,2023-01-01 12:37:00,False,
150,2023-01-01,2023-01-01 18:51:00,True,64.0
150,2023-01-01,2023-01-01 23:07:00,False,
173,2023-01-01,2023-01-01 06:02:00,False,
173,2023-01-01,2023-01-01 12:51:00,True,74.0
173,2023-01-01,2023-01-01 18:18:00,False,
173,2023-01-01,2023-01-01 23:33:00,False,
186,2023-01-01,2023-01-01 06:34:00,False,
186,2023-01-01,2023-01-01 12:34:00,False,
186,2023-01-01,2023-01-01 18:09:00,True,56.0
186,2023-01-01,2023-01-01 23:46:00,True,95.0
193,2023-01-01,2023-01-01 06:48:00,True,81.0
193,2023-01-01,2023-01-01 12:37:00,False,
193,2023-01-01,2023-01-01 18:14:00,True,5.0
193,2023-01-01,2023-01-01 23:43:00,False,
200,2023-01-01,2023-01-01 06:41:00,False,
200,2023-01-01,2023-01-01 12:08:00,False,
200,2023-01-01,2023-01-01 18:32:00,True,31.0
200,2023-01-01,2023-01-01 23:15:00,True,26.0
13,2023-01-02,2023-01-02 06:22:00,True,29.0
13,2023-01-02,2023-01-02 12:54:00,True,67.0
13,2023-01-02,2023-01-02 18:12:00,True,97.0
13,2023-01-02,2023-01-02 23:10:00,True,18.0
18,2023-01-02,2023-01-02 06:39:00,False,
18,2023-01-02,2023-01-02 12:06:00,False,
18,2023-01-02,2023-01-02 18:09:00,False,
18,2023-01-02,2023-01-02 23:35:00,False,
50,2023-01-02,2023-01-02 06:34:00,True,4.0
50,2023-01-02,2023-01-02 12:01:00,True,98.0
50,2023-01-02,2023-01-02 18:17:00,True,74.0
50,2023-01-02,2023-01-02 23:25:00,True,58.0
92,2023-01-02,2023-01-02 06:44:00,True,23.0
92,2023-01-02,2023-01-02 12:27:00,True,77.0
92,2023-01-02,2023-01-02 18:55:00,True,18.0
92,2023-01-02,2023-01-02 23:31:00,False,
111,2023-01-02,2023-01-02 06:36:00,True,38.0
111,2023-01-02,2023-01-02 12:31:00,True,33.0
111,2023-01-02,2023-01-02 18:05:00,True,50.0
111,2023-01-02,2023-01-02 23:19:00,True,9.0
112,2023-01-02,2023-01-02 06:30:00,False,
112,2023-01-02,2023-01-02 12:33:00,True,69.0
112,2023-01-02,2023-01-02 18:44:00,True,56.0
112,2023-01-02,2023-01-02 23:29:00,False,
183,2023-01-02,2023-01-02 06:46:00,True,9.0
183,2023-01-02,2023-01-02 12:46:00,False,
183,2023-01-02,2023-01-02 18:09:00,True,42.0
183,2023-01-02,2023-01-02 23:54:00,True,51.0
195,2023-01-02,2023-01-02 06:19:00,False,
195,2023-01-02,2023-01-02 12:10:00,True,20.0
195,2023-01-02,2023-01-02 18:45:00,False,
195,2023-01-02,2023-01-02 23:00:00,False,
10,2023-01-03,2023-01-03 06:11:00,True,64.0
10,2023-01-03,2023-01-03 12:28:00,True,81.0
10,2023-01-03,2023-01-03 18:59:00,False,
10,2023-01-03,2023-01-03 23:00:00,False,
19,2023-01-03,2023-01-03 06:17:00,False,
19,2023-01-03,2023-01-03 12:14:00,True,11.0
19,2023-01-03,2023-01-03 18:08:00,False,
19,2023-01-03,2023-01-03 23:00:00,True,80.0
23,2023-01-03,2023-01-03 06:58:00,False,
23,2023-01-03,2023-01-03 12:55:00,False,
23,2023-01-03,2023-01-03 18:40:00,False,
23,2023-01-03,2023-01-03 23:36:00,False,
74,2023-01-03,2023-01-03 06:33:00,False,
74,2023-01-03,2023-01-03 12:06:00,False,
74,2023-01-03,2023-01-03 18:11:00,True,91.0
74,2023-01-03,2023-01-03 23:04:00,False,
